year,AGRO_PRODUCTION_rog,CPI_ALCOHOL_rog,CPI_FOOD_rog,CPI_NONFOOD_rog,CPI_SERVICES_rog,CPI_rog,GDP_bln_rub,GDP_yoy,GOV_CONSOLIDATED_EXPENSE_ACCUM_bln_rub,GOV_CONSOLIDATED_REVENUE_ACCUM_bln_rub,GOV_FEDERAL_EXPENSE_ACCUM_bln_rub,GOV_FEDERAL_REVENUE_ACCUM_bln_rub,GOV_FEDERAL_SURPLUS_ACCUM_bln_rub,GOV_SUBFEDERAL_EXPENSE_ACCUM_bln_rub,GOV_SUBFEDERAL_REVENUE_ACCUM_bln_rub,GOV_SUBFEDERAL_SURPLUS_ACCUM_bln_rub,HH_REAL_DISPOSABLE_INCOME_yoy,IND_PROD_yoy,I_EXSB_FUNDING_EXTERNAL_FUNDS_BUDGET_FEDERAL_bln_rub,I_EXSB_FUNDING_EXTERNAL_FUNDS_BUDGET_SUBFEDERAL_bln_rub,I_EXSB_FUNDING_EXTERNAL_FUNDS_BUDGET_bln_rub,I_EXSB_FUNDING_EXTERNAL_FUNDS_bln_rub,I_EXSB_FUNDING_OWN_FUNDS_bln_rub,I_bln_rub,NONFINANCIALS_PROFIT_CONSTRUCTION_bln_rub,NONFINANCIALS_PROFIT_MANUF_bln_rub,NONFINANCIALS_PROFIT_MINING_bln_rub,NONFINANCIALS_PROFIT_POWER_GAS_WATER_bln_rub,NONFINANCIALS_PROFIT_TRANS_COMM_bln_rub,PRICE_EGGS_rub_per_1000,PRICE_INDEX_CARGO_TRANSPORT_rog,PRICE_INDEX_CONSTRUCTION_rog,PRICE_INDEX_INVESTMENT_rog,PRICE_INDEX_LIVESTOCK_PRODUCTS_rog,PROD_AGRO_EGGS_mln,PROD_AGRO_EGGS_yoy,PROD_AGRO_MEAT_th_t,PROD_AGRO_MEAT_yoy,PROD_AUTO_BUS_units,PROD_AUTO_PSGR_th,PROD_AUTO_TRUCKS_AND_CHASSIS_th,PROD_AUTO_TRUCKS_th,PROD_BYCYCLES_th,PROD_COAL_mln_t,PROD_E_TWh,PROD_FOOTWEAR_mln_pair,PROD_GASOLINE_mln_t,PROD_NATURAL_AND_ASSOC_GAS_bln_m3,PROD_NATURAL_GAS_bln_m3,PROD_OIL_mln_t,PROD_PAPER_th_t,PROD_RAILWAY_CARGO_WAGONS_units,PROD_RAILWAY_PSGR_WAGONS_units,PROD_STEEL_th_t,PROD_WOOD_INDUSTRIAL_mln_solid_m3,PROD_WOOD_ROUGH_mln_solid_m3,RETAIL_SALES_FOOD_INCBEV_AND_TABACCO_bln_rub,RETAIL_SALES_NONFOOD_GOODS_bln_rub,RETAIL_SALES_bln_rub,RETAIL_USLUGI_bln_rub,RUR_EUR_eop,RUR_USD_eop,SOC_MONEY_INCOME_PER_CAPITA_rub,SOC_PENSION_rub,SOC_REAL_MONEY_INCOME_yoy,SOC_UNEMPLOYED_REGISTERED_BENEFITS_th,SOC_UNEMPLOYED_REGISTERED_th,SOC_UNEMPLOYED_bln,SOC_UNEMPLOYMENT_RATE_percent,SOC_WAGE_rub,TRADE_GOODS_EXPORT_bln_usd,TRADE_GOODS_IMPORT_bln_usd,TRANS_COM_bln_t_km,TRANS_COM_yoy,TRANS_RAILLOAD_mln_t,TRANS_RAILLOAD_yoy,TRANS_bln_t_km,TURNOVER_CATERING_bln_rub
1999,103.8,143.2,135.0,139.2,134.0,136.5,4823.0,106.4,1258.0,1213.6,666.9,615.5,-51.4,653.8,660.8,7.0,87.7,,37.5,55.9,99.2,277.2,304.9,670.4,14822.0,137998.0,109148.0,8241.0,97060.0,858.0,118.2,137.3,146.0,169.4,33135.0,101.2,6813.0,90.7,50021.0,954.0,,176.1,425.0,250.0,846.0,29.9,26.2,,592.0,295.0,2968.0,4140.0,716.0,51518.0,75.8,,866.1,931.3,1797.4,443.7,27.23,27.0,1658.9,449.0,88.2,1418.0,1588.0,9.4,13.0,1523.0,75.6,39.5,3372.0,105.8,947.0,113.5,3461.0,59.8
2000,106.2,125.0,117.1,118.5,133.7,120.2,7306.0,110.0,1960.1,2097.7,1029.2,1132.1,102.9,1032.1,1065.8,33.8,112.0,,62.9,151.2,232.1,553.1,500.6,1165.2,30359.0,266128.0,188810.0,21280.0,171970.0,977.8,151.5,140.5,135.9,120.7,34085.0,102.9,7029.0,103.2,54001.0,969.0,,184.5,639.0,258.0,878.0,32.0,27.2,,584.0,313.0,3326.0,4029.0,802.0,59097.0,80.6,,1093.2,1259.1,2352.3,602.8,26.14,28.16,2281.1,694.3,113.4,917.0,1070.0,7.7,10.5,2223.0,105.0,44.9,3542.0,105.0,1047.0,110.5,3638.0,83.3
2001,106.9,112.6,117.8,112.7,136.9,118.6,8944.0,105.1,2419.4,2683.7,1321.9,1594.0,272.1,1330.2,1322.4,-7.8,108.7,,77.6,167.3,272.9,675.6,660.3,1504.7,32331.0,286115.0,206748.0,21945.0,187521.0,1233.0,138.6,115.2,114.4,123.8,35242.0,103.4,7039.0,100.1,56506.0,1022.0,,172.6,514.0,270.0,891.0,37.0,27.6,,581.0,337.0,3442.0,6518.0,859.0,59030.0,83.4,,1416.8,1653.2,3070.0,811.7,26.49,30.14,3062.0,1023.5,110.1,923.0,1050.0,6.4,9.0,3240.0,101.9,53.8,3651.0,103.1,1057.0,101.0,3754.0,117.0
2002,100.9,108.9,111.3,110.9,136.2,115.1,10831.0,104.7,3422.3,3519.2,2054.2,2204.7,150.5,1687.2,1633.6,-53.6,111.1,103.1,88.8,178.3,289.6,801.1,654.6,1762.4,22279.0,212476.0,174694.0,11039.0,154100.0,1287.0,118.3,114.7,112.6,100.0,36378.0,103.2,7374.0,104.8,66692.0,981.0,,172.6,509.0,256.0,891.0,42.2,29.0,,595.0,367.0,3552.0,10740.0,867.0,59883.0,84.2,,1753.9,2011.5,3765.4,1088.0,33.11,31.78,3947.2,1378.5,110.8,1090.0,1348.0,5.8,8.0,4360.0,107.3,61.0,3868.0,106.0,1084.0,102.5,3976.0,152.6
2003,99.9,109.9,110.2,109.2,122.3,112.0,13208.0,107.3,3964.9,4138.7,2358.6,2586.2,227.6,1984.3,1930.5,-53.8,115.0,108.9,122.5,220.0,358.0,999.8,825.1,2186.4,31922.0,339308.0,241097.0,22194.0,213945.0,1331.0,123.5,110.6,110.3,112.4,36625.0,100.7,7758.0,105.2,76228.0,1012.0,,192.9,415.0,277.0,916.0,47.4,29.3,,620.0,408.0,3682.0,26973.0,1025.0,62839.0,90.3,,2091.7,2438.0,4529.7,1430.7,36.82,29.45,5167.4,1637.0,114.6,1304.0,1570.0,5.9,8.2,5499.0,135.9,76.1,4171.0,107.8,1161.0,107.1,4282.0,192.7
2004,102.4,108.7,113.0,107.4,117.7,111.7,17027.0,107.2,4669.7,5429.9,2698.9,3428.9,730.0,2373.0,2403.2,30.2,110.4,108.0,116.1,255.6,394.0,1204.3,1001.4,2865.0,33047.0,601635.0,425039.0,82676.0,263439.0,1660.0,109.3,118.6,114.9,121.1,35901.0,98.0,7831.0,100.9,75724.0,1110.0,,200.2,344.0,282.0,932.0,46.4,30.5,,633.0,443.0,3903.0,35340.0,1211.0,65645.0,92.2,,2580.3,3062.2,5642.5,1789.7,37.81,27.75,6399.0,1914.5,111.2,1349.0,1670.0,5.6,7.7,6740.0,183.2,97.4,4441.0,106.5,1221.0,105.2,4558.0,246.1
2005,101.6,107.6,109.9,106.4,121.0,110.9,21610.0,106.4,6820.6,8579.6,3514.3,5127.2,1612.9,2941.2,2999.9,58.7,112.4,105.1,202.2,356.1,589.2,1606.0,1287.2,3611.1,39804.0,943674.0,804198.0,117805.0,326903.0,1712.0,116.6,115.8,112.1,109.0,37140.0,103.5,7726.0,98.7,78235.0,1069.0,,205.1,236.0,299.0,953.0,47.2,32.0,,641.0,453.0,4001.0,35160.0,1221.0,66262.0,98.3,,3217.6,3823.9,7041.5,2264.7,34.19,28.78,8088.3,2364.0,111.7,1548.0,1847.0,5.3,7.1,8555.0,240.0,123.8,4550.0,102.4,1273.0,104.3,4675.0,323.4
2006,103.0,110.1,108.4,106.0,113.9,109.0,26917.0,108.2,8375.2,10625.8,4284.8,6278.9,1994.1,3657.7,3797.3,139.6,113.5,106.3,267.4,446.4,769.2,2205.4,1603.6,4730.0,66431.0,1483567.0,712883.0,90461.0,410994.0,1651.0,115.8,114.9,112.4,104.2,38216.0,102.9,8064.0,104.4,88655.0,1178.0,,245.3,1048.0,310.0,996.0,57.3,34.4,,656.0,462.0,4038.0,33656.0,1557.0,70815.0,98.2,,3947.4,4764.5,8711.9,2798.4,34.7,26.33,10154.8,2726.1,114.1,1514.0,1766.0,5.2,7.0,10634.0,297.5,163.2,4675.0,102.7,1311.0,102.9,4800.0,427.2
2007,103.3,107.7,117.1,106.5,113.3,111.9,33248.0,108.5,11378.6,13368.3,5986.6,7781.1,1794.6,4790.5,4828.5,38.0,112.1,106.8,431.3,611.1,1119.0,3112.2,2105.0,6716.2,108823.0,1739360.0,906679.0,119690.0,659277.0,1974.0,106.8,121.2,117.4,125.5,38208.0,100.0,8746.0,108.5,88862.0,1294.0,,285.0,1513.0,314.0,1015.0,54.2,35.1,,653.0,473.0,4084.0,38575.0,1823.0,72370.0,107.0,,4891.4,5977.6,10869.0,3407.0,35.93,24.55,12540.2,3115.5,113.1,1302.0,1560.0,4.5,6.0,13593.0,346.5,223.1,4788.0,102.4,1344.0,102.5,4915.0,548.5
2008,110.8,110.9,117.6,108.0,115.9,113.3,41277.0,105.2,13991.8,16003.9,7570.9,9275.9,1705.1,6253.1,6198.8,-54.4,102.4,100.6,537.9,759.5,1404.7,4056.9,2648.6,8781.6,130421.0,1694862.0,872481.0,97862.0,573243.0,2471.0,132.3,118.6,116.9,120.4,38058.0,99.6,9331.0,106.7,66477.0,1470.0,,256.0,1435.0,329.0,1040.0,56.6,35.6,,664.0,472.0,4004.0,42681.0,2143.0,68711.0,90.9,,6495.7,7448.5,13944.2,4079.8,41.44,29.38,14863.6,4198.6,103.8,1119.0,1400.0,4.7,6.2,17290.0,466.3,288.7,4820.0,100.7,1304.0,97.0,4948.0,722.7
